المفرد,النوع,الجمع,الأمثلة
أَفْعَل,اسم,أَفاعِل,أَخْمَص أَخامِص، أَفْعَى أَفاعٍ، أَجْدَل أَجادِل، أَخْدَع أَخادِع، أَثْلَب أَثالِب ...
أَفْعَل,صفة,أَفاعِل,‏- إذا كان مؤنث أَفْعَل هو أَفْعَلة: أَرْمَل أَرامِل ... - إذا كان أَفْعَل التفضيل ومؤنثه فُعْلَى: أَكْبَر أَكابِر، أَفْضَل أَفاضِل، أَمْثَل أَماثِل، أَسْفَل أَسافِل، أَحْسَن أَحاسِن ...
أَفْعَل,صفة,فِعال,‏(سماعي): أَعْجَف عِجاف، أَجْرَب جِراب ...
أَفْعَل,صفة,فُعَّل,‏(سماعي): أَعْزَل عُزَّل ...
أَفْعَل,صفة,فُعْل,إذا كان مؤنث أَفْعَل هو فَعْلاء: أَحْمَر حُمْر، أَسْوَد سُود، أَصَمّ صُمّ، أَبْكَم بُكْم، أَعْمَى عُمْي، أَصْلَع صُلْع ... وشذ: أَمْرَد مُرْد ...
أَفْعَل,صفة,فُعْلان,‏(سماعي): أَسْوَد سُودان، أَبْيَض بِيضان، أَحْمَر حُمْران، أَعْمَى عُمْيان، أَعْوَر عُوران، أَعْرَج عُرْجان، أَقْرَع قُرْعان، أَصْلَع صُلْعان، أَصَمّ صُمّان، أَبْجَر بُجْران، أَقْطَع قُطْعان ...
أَفْعَل,صفة,فَعْلَى,إذا دل على آفة أو مكروه أو نقص أو عيب: أَحْمَق حَمْقى، أَهْوَج هَوْجَى، أَنْوَك نَوْكَى، أَجْرَب جَرْبَى ...
أُفْعُل,اسم,أَفاعِل,أُصْبُع أَصابِع ...
أَفْعَلة,صفة,أَفاعِل,إذا كانت أَفْعَلة مؤنث أَفْعَل: أَرْمَلة أَرامِل ...
أَفْعُلة,اسم,أَفاعِل,أَنْمُلة أَنامِل ...
أُفْعُلة,اسم,أَفاعِل,أُنْمُلة أَنامِل ...
أُفْعُول,اسم,أَفاعِيل,أُسْبُوع أَسابِيع، أُسْلُوب أَسالِيب، أُخْدُود أَخادِيد ...
أُفْعُول,صفة,أَفاعِيل,أُمْلُود أَمالِيد، أُسْكُوب أَساكِيب ...
أُفْعُولة,اسم,أَفاعِل,أُغْنِيَّة أَغانٍ، أُمْنِيَّة أَمانٍ ...
